DIST_CODE,DIST_NAME,MEDIAN_CLASS_SIZE,STU:TCHR_RATIO,WEIGHTED_AVG_STU:TCHR+AIDE_RATIO,PREK_CURRICULA_MostSchool,PREK_Curricula_MostSchools_Count,PREK_CURRICULA_Available,Cnt_PreK_FullANDHalfDay,Cnt_PreK_FullDay_Only,Cnt_PreK_HalfDay_Only,Cnt_PreK_FullDayAvailable,Cnt_PreK_HalfDayAvailable,ADA_Eligible,ADA_Ineligible,PK_Total_Enrollment_21_22
001903,ELKHART ISD,23,22:1,15:1,CIRCLE-E,1,CIRCLE-E,0,1,0,1,0,44,19,63
001904,FRANKSTON ISD,23,23:1,23:1,Other,1,Other,0,1,0,1,0,36,5,41
001906,NECHES ISD,16,16:1,11:1,PreK On My Way-E,1,PreK On My Way-E,0,1,0,1,0,8,5,13
001907,PALESTINE ISD,18,18:1,18:1,CIRCLE-E,1,"CIRCLE-E,CIRCLE-S",0,1,0,1,0,181,46,227
001908,WESTWOOD ISD,14,16:1,10:1,Other,1,"Other,Ready to Advance-E",0,1,0,1,0,59,11,70
001909,SLOCUM ISD,15,15:1,15:1,Other,1,Other,1,0,0,1,1,14,12,26
002901,ANDREWS ISD,12,23:1,23:1,Frog Street-E,1,"Frog Street-E,Frog Street-S",0,0,1,0,1,87,"",87
003801,PINEYWOODS COMMUNITY ACADEMY,15,14:1,14:1,CIRCLE-E,1,CIRCLE-E,0,1,0,1,0,27,14,41
003902,HUDSON ISD,16,13:1,10:1,Creative Curriculum-E,1,Creative Curriculum-E,0,1,0,1,0,63,7,70
003903,LUFKIN ISD,20,17:1,12:1,CLI Blueprint,2,CLI Blueprint,0,2,0,2,0,384,7,391
003904,HUNTINGTON ISD,25,24:1,19:1,CIRCLE-E,1,CIRCLE-E,0,1,0,1,0,46,"",46
003905,DIBOLL ISD,16,18:1,12:1,Frog Street-E,1,Frog Street-E,1,0,0,1,1,114,32,146
003906,ZAVALLA ISD,17,17:1,17:1,CIRCLE-E,1,CIRCLE-E,0,1,0,1,0,*,*,19
003907,CENTRAL ISD,21,17:1,10:1,Frog Street-E,1,Frog Street-E,0,1,0,1,0,49,12,61
004901,ARANSAS COUNTY ISD,21,24:1,21:1,Ready to Advance-E,1,Ready to Advance-E,0,1,0,1,0,*,*,128
005901,ARCHER CITY ISD,12,8:1,8:1,Frog Street-E,1,Frog Street-E,1,0,0,1,1,20,19,39
005902,HOLLIDAY ISD,11,11:1,11:1,Frog Street-E,1,Frog Street-E,0,1,0,1,0,21,"",21
005904,WINDTHORST ISD,17,17:1,17:1,Frog Street-E,1,Frog Street-E,1,0,0,1,1,12,24,36
006902,CLAUDE ISD,16,16:1,16:1,Frog Street-E,1,Frog Street-E,1,0,0,1,1,*,*,14
007901,CHARLOTTE ISD,20,20:1,20:1,Frog Street-E,1,Frog Street-E,0,1,0,1,0,13,6,19
007902,JOURDANTON ISD,19,19:1,19:1,PreK On My Way-E,1,PreK On My Way-E,1,0,0,1,1,44,14,58
007904,LYTLE ISD,17,18:1,18:1,Frog Street-E,1,Frog Street-E,1,0,0,1,1,96,8,104
007905,PLEASANTON ISD,20,19:1,12:1,Frog Street-E,1,"Frog Street-E,Frog Street-S",1,0,0,1,1,*,*,178
007906,POTEET ISD,20,20:1,14:1,Creative Curriculum-E,1,Creative Curriculum-E,0,1,0,1,0,89,8,97
008901,BELLVILLE ISD,13,10:1,10:1,Ready to Advance-E,1,"Ready to Advance-E,Savvas-E",0,1,0,1,0,35,"",35
008902,SEALY ISD,18,18:1,16:1,Other,2,Other,0,2,0,2,0,86,12,98
008903,BRAZOS ISD,20,20:1,20:1,Frog Street-E,1,Frog Street-E,0,1,0,1,0,*,*,17
009901,MULESHOE ISD,21,21:1,14:1,CIRCLE-E,1,CIRCLE-E,0,1,0,1,0,73,6,79
010901,MEDINA ISD,20,17:1,9:1,Frog Street-E,1,Frog Street-E,0,1,0,1,0,24,9,33
010902,BANDERA ISD,19,19:1,19:1,CIRCLE-E,2,"CIRCLE-E,Creative Curriculum-E",0,2,0,2,0,64,6,70
011901,BASTROP ISD,23,18:1,14:1,Ready to Advance-E,6,"Ready to Advance-E,Ready to Advance-S",0,6,0,6,0,429,25,454
011902,ELGIN ISD,23,21:1,15:1,Other,1,Other,0,1,0,1,0,228,9,237
011904,SMITHVILLE ISD,21,21:1,14:1,Creative Curriculum-E,1,Creative Curriculum-E,0,1,0,1,0,47,9,56
011905,MCDADE ISD,15,8:1,6:1,CIRCLE-E,1,CIRCLE-E,0,0,1,0,1,13,"",13
012901,SEYMOUR ISD,15,15:1,15:1,Frog Street-E,1,Frog Street-E,0,1,0,1,0,28,"",28
013901,BEEVILLE ISD,17,17:1,17:1,Frog Street-E,1,Frog Street-E,0,1,0,1,0,88,5,93
013902,PAWNEE ISD,18,43:1,14:1,Creative Curriculum-E,1,Creative Curriculum-E,0,1,0,1,0,*,*,335
013903,PETTUS ISD,28,28:1,28:1,Frog Street-E,1,Frog Street-E,1,0,0,1,1,18,9,27
013905,SKIDMORE-TYNAN ISD,18,18:1,12:1,PreK On My Way-E,1,PreK On My Way-E,0,1,0,1,0,17,"",17
014803,PRIORITY CHARTER SCHOOLS,19,16:1,16:1,Creative Curriculum-E,4,Creative Curriculum-E,0,4,0,4,0,65,21,86
014901,ACADEMY ISD,18,35:1,35:1,Other,1,Other,0,0,1,0,1,36,"",36
014902,BARTLETT ISD,19,10:1,10:1,CIRCLE-E,1,CIRCLE-E,0,1,0,1,0,19,"",19
014903,BELTON ISD,19,18:1,12:1,PreK On My Way-E,1,PreK On My Way-E,0,1,0,1,0,329,45,374
014905,HOLLAND ISD,17,17:1,17:1,Other,1,Other,0,1,0,1,0,14,16,30
014906,KILLEEN ISD,25,21:1,16:1,Savvas-E,31,"Savvas-E,Creative Curriculum-E",0,31,0,31,0,2699,"",2699
014907,ROGERS ISD,16,16:1,16:1,CIRCLE-E,1,CIRCLE-E,0,1,0,1,0,25,6,31
014908,SALADO ISD,23,23:1,23:1,HighScope,1,HighScope,1,0,0,1,1,52,17,69
014909,TEMPLE ISD,20,20:1,20:1,Frog Street-E,1,"Frog Street-E,Frog Street-S",0,1,0,1,0,357,"",357
014910,TROY ISD,15,15:1,15:1,PreK On My Way-E,1,PreK On My Way-E,0,1,0,1,0,49,11,60
015802,GEORGE GERVIN ACADEMY,14,17:1,17:1,Frog Street-E,1,"Frog Street-E,PreK On My Way-E,PreK On My Way-S",0,0,2,0,2,188,"",188
015806,LEGACY TRADITIONAL SCHOOLS - TEXAS,15,17:1,17:1,Frog Street-E,2,Frog Street-E,0,2,0,2,0,27,"",27
015807,SOUTHWEST PREPARATORY SCHOOL,16,12:1,12:1,CIRCLE-E,4,CIRCLE-E,0,4,0,4,0,38,24,62
015809,BEXAR COUNTY ACADEMY,19,18:1,18:1,Frog Street-E,1,Frog Street-E,0,1,0,1,0,54,"",54
015815,HERITAGE ACADEMY,15,17:1,17:1,Frog Street-E,1,Frog Street-E,0,1,0,1,0,14,"",14
015822,JUBILEE ACADEMIES,20,18:1,18:1,Savvas-E,12,Savvas-E,0,12,0,12,0,*,*,353
015825,LIGHTHOUSE PUBLIC SCHOOLS,17,21:1,21:1,CIRCLE-E,1,CIRCLE-E,0,1,0,1,0,*,*,64
015827,SCHOOL OF SCIENCE AND TECHNOLOGY,21,16:1,12:1,Savvas-E,6,Savvas-E,0,6,0,6,0,301,"",301
015828,HARMONY PUBLIC SCHOOLS - SOUTH TEXA,24,10:1,10:1,Savvas-E,3,Savvas-E,0,3,0,3,0,95,"",95
015830,BROOKS ACADEMIES OF TEXAS,18,15:1,15:1,Creative Curriculum-E,3,Creative Curriculum-E,1,2,0,3,1,*,*,77
015831,SCHOOL OF SCIENCE AND TECHNOLOGY DI,23,18:1,16:1,Savvas-E,6,Savvas-E,0,6,0,6,0,339,"",339
015843,PRELUDE PREPARATORY CHARTER SCHOOL,11,11:1,11:1,Creative Curriculum-E,1,Creative Curriculum-E,1,0,0,1,1,*,*,9
015901,ALAMO HEIGHTS ISD,14,14:1,14:1,Creative Curriculum-E,1,Creative Curriculum-E,0,1,0,1,0,52,18,70
015904,HARLANDALE ISD,9,10:1,10:1,Creative Curriculum-E,7,Creative Curriculum-E,4,9,0,13,4,692,15,707
015905,EDGEWOOD ISD,13,13:1,13:1,PreK On My Way-E,6,PreK On My Way-E,0,8,0,8,0,695,15,710
015906,RANDOLPH FIELD ISD,13,25:1,25:1,Other,1,Other,0,0,1,0,1,18,"",18
015907,SAN ANTONIO ISD,18,14:1,14:1,Frog Street-E,53,"Frog Street-E,Frog Street-S,HighScope,Other",3,58,0,61,3,3593,289,3882
015908,SOUTH SAN ANTONIO ISD,22,18:1,18:1,Frog Street-E,9,"Frog Street-E,Frog Street-S",0,10,0,10,0,467,16,483
015909,SOMERSET ISD,16,16:1,16:1,CIRCLE-E,2,CIRCLE-E,0,2,0,2,0,200,18,218
015910,NORTH EAST ISD,14,16:1,11:1,Savvas-E,37,"Savvas-E,Savvas-S",0,38,0,38,0,1609,165,1774
015911,EAST CENTRAL ISD,24,19:1,13:1,HighScope,7,HighScope,0,8,0,8,0,369,132,501
015912,SOUTHWEST ISD,19,18:1,18:1,Creative Curriculum-E,11,Creative Curriculum-E,0,11,0,11,0,453,96,549
015913,LACKLAND ISD,16,16:1,16:1,Frog Street-E,1,Frog Street-E,0,1,0,1,0,59,"",59
015914,FT SAM HOUSTON ISD,20,17:1,10:1,Frog Street-E,1,Frog Street-E,0,1,0,1,0,81,"",81
015915,NORTHSIDE ISD,21,20:1,14:1,Savvas-E,63,"Savvas-E,Savvas-S",18,1,61,19,79,2922,297,3219
015916,JUDSON ISD,25,19:1,19:1,Frog Street-E,20,Frog Street-E,0,20,0,20,0,1777,443,2220
015917,SOUTHSIDE ISD,22,18:1,18:1,CIRCLE-E,1,CIRCLE-E,1,0,0,1,1,334,39,373
016901,JOHNSON CITY ISD,22,22:1,22:1,Frog Street-E,1,Frog Street-E,0,1,0,1,0,11,9,20
016902,BLANCO ISD,16,16:1,16:1,PreK On My Way-E,1,PreK On My Way-E,0,1,0,1,0,*,*,26
017901,BORDEN COUNTY ISD,11,11:1,11:1,CIRCLE-E,1,CIRCLE-E,0,1,0,1,0,*,*,10
018901,CLIFTON ISD,19,19:1,19:1,Frog Street-E,1,Frog Street-E,0,1,0,1,0,*,*,32
018902,MERIDIAN ISD,18,18:1,18:1,CIRCLE-E,1,CIRCLE-E,0,1,0,1,0,*,*,16
018903,MORGAN ISD,3,3:1,3:1,CIRCLE-E,1,CIRCLE-E,0,1,0,1,0,*,"",*
018904,VALLEY MILLS ISD,21,21:1,21:1,CIRCLE-E,1,CIRCLE-E,0,1,0,1,0,*,*,20
018905,WALNUT SPRINGS ISD,24,24:1,24:1,Frog Street-E,1,Frog Street-E,0,1,0,1,0,24,"",24
018906,IREDELL ISD,11,11:1,11:1,Frog Street-E,1,Frog Street-E,0,1,0,1,0,*,*,7
018907,KOPPERL ISD,9,9:1,9:1,CIRCLE-E,1,CIRCLE-E,0,1,0,1,0,*,*,8
018908,CRANFILLS GAP ISD,5,5:1,5:1,Frog Street-E,1,Frog Street-E,0,1,0,1,0,5,"",5
019901,DEKALB ISD,16,21:1,12:1,Frog Street-E,1,Frog Street-E,1,0,0,1,1,42,19,61
019902,HOOKS ISD,15,15:1,10:1,CIRCLE-E,1,CIRCLE-E,0,1,0,1,0,*,*,26
019903,MAUD ISD,10,10:1,10:1,CIRCLE-E,1,CIRCLE-E,0,1,0,1,0,13,5,18
019905,NEW BOSTON ISD,17,17:1,10:1,PreK On My Way-E,1,PreK On My Way-E,0,1,0,1,0,75,19,94
019906,REDWATER ISD,12,12:1,9:1,CIRCLE-E,1,CIRCLE-E,1,0,0,1,1,*,*,35
019907,TEXARKANA ISD,20,16:1,16:1,Frog Street-E,5,"Frog Street-E,Frog Street-S",1,4,0,5,1,*,*,495
019908,LIBERTY-EYLAU ISD,17,17:1,17:1,Savvas-E,1,Savvas-E,0,1,0,1,0,177,11,188
019909,SIMMS ISD,25,25:1,17:1,Frog Street-E,1,Frog Street-E,1,0,0,1,1,11,10,21
019910,MALTA ISD,12,12:1,12:1,CIRCLE-E,1,CIRCLE-E,1,0,0,1,1,8,12,20
019912,PLEASANT GROVE ISD,11,9:1,9:1,Ready to Advance-E,1,Ready to Advance-E,0,1,0,1,0,*,*,31
019913,HUBBARD ISD,,,,,,,1,0,0,1,1,*,*,8
019914,LEARY ISD,13,13:1,13:1,Frog Street-E,1,Frog Street-E,0,1,0,1,0,30,"",30
020901,ALVIN ISD,15,16:1,16:1,Frog Street-E,18,"Frog Street-E,Frog Street-S",2,12,4,14,6,*,*,666
020902,ANGLETON ISD,18,18:1,12:1,Creative Curriculum-E,6,Creative Curriculum-E,0,6,0,6,0,240,13,253
020904,DANBURY ISD,17,17:1,17:1,Savvas-E,1,Savvas-E,0,1,0,1,0,*,*,19
020905,BRAZOSPORT ISD,22,16:1,16:1,Frog Street-E,6,"Frog Street-E,Frog Street-S",0,6,0,6,0,399,31,430
020906,SWEENY ISD,15,12:1,12:1,Creative Curriculum-E,1,Creative Curriculum-E,0,1,0,1,0,*,*,37
